Program  ; DUAs ; DUA-Node; DUA-Edge; Unc-DUAs ; t-Node; t-Edge; t-Unc-DUAs
Csv;   929  ; 57.3; 70.3 ; 31.5  ;  343.8  ;334.7 ; 670.0
Cli ;  1291  ;    69.6  ; 83.0; 29.4 ;  454.6 ; 443.2  ; 923.2
Codec ; 4446 ; 38.0 ; 48.4 ;  37.9 ; 678.9   ; 656.4 ; 6778.4
Jsoup ;  1866 ; 80.0 ; 92.9 ; 26.8 ; 584.9  ; 595.3 ; 877.3
J-Xml ;  3402 ; 75.7  ; 87.9  ; 26.5 ;   715.3 ; 730.5 ; 1237.9
Compress ; 6286 ; 58.7;  67.0 ;  28.3; 1126.1   ; 1169.5 ;5797.4
Gson ; 3281 ; 76.6  ; 88.4  ; 29.7 ; 849.6  ; 817.5 ; 1295.8
Mockito ; 4236 ; 74.6  ; 90.0  ;  32.1 ; 1327.1 ; 1339.2 ; 1931.1
J-Core ; 17653 ; 59.5   ;   72.7 ; 28.1;   1500.2 ; 1538.2 ; 6394.3
JxPath ;   20178 ;  66.9; 84.4  ; 29.7  ; 1763.4 ; 1783.0 ; 6494.9
Lang  ; 22290 ; 62.8 ; 73.9 ;  32.0 ; 2178.5 ; 2085.0 ; 6087.2
Time ; 18160 ;  69.2  ; 80.9 ; 31.1 ; 2264.7 ; 2338.9 ; 5915.2
Collections ;  16937 ; 68.8 ;  81.9 ; 30.0 ; 2331.4  ; 2322.0 ; 4556.9
J-DataBind ;  31797 ; 73.8 ; 85.6 ;  26.4 ; 2834.3 ; 2881.4 ; 6982.3
Math ; 87603  ; 57.9  ; 64.2; 25.3 ; 12141.9 ; 11815.7 ; 104246.0
Chart ; 81847 ;   72.8 ;  82.2 ;  24.5    ; 6390.8 ; 6301.0 ; 18420.9
Closure ; 78068 ; 67.9  ; 83.7 ; 31.8 ;  6551.1 ;  6358.1 ; 32076.6
Weka ; 337063  ; 59.9  ; 70.9  ; 27.4 ; 22361.8 ; 22317.7  ; 98377.5
